ColumnHeader,Depth,Crop,Irrigation,Block
P24_D90,D90,Pasture,None,B3
P31_D90,D90,Pasture,None,B4
P1_D90,D90,Pasture,OnePerWeek,B1
P16_D90,D90,Pasture,OnePerWeek,B2
P17_D90,D90,Pasture,OnePerWeek,B3
P29_D90,D90,Pasture,OnePerWeek,B4
P5_D90,D90,Pasture,ThreeWeekly,B1
P12_D90,D90,Pasture,ThreeWeekly,B2
P23_D90,D90,Pasture,ThreeWeekly,B3
P32_D90,D90,Pasture,ThreeWeekly,B4
P8_D90,D90,Pasture,TwoPerWeek,B1
P9_D90,D90,Pasture,TwoPerWeek,B2
P21_D90,D90,Pasture,TwoPerWeek,B3
P25_D90,D90,Pasture,TwoPerWeek,B4
